Fullname	CCY	Last	+/-	%	Bid	Ask	Volume	Turnover	Updated (CET)
Immunovia	SEK	0.20	+0.0102	+5.37%	0.1952	0.20	1,142,204	225,452	09:24:55
Incap Oyj	EUR	8.93	-0.03	-0.33%	8.89	8.93	9,582	85,880	09:23:50
Infant Bacterial TherapeuticsB	SEK	54.80	-0.10	-0.18%	53.50	54.80	222	12,169	09:25:16
Instalco	SEK	38.36	+0.08	+0.20%	38.24	38.38	57,164	2,158,764	09:25:55
Intea Fastigheter B	SEK	76.20	+0.10	+0.13%	75.70	76.20	3,652	277,228	09:23:26
International Petroleum Corp.	SEK	260.20	-0.60	-0.23%	259.60	260.80	9,862	2,555,658	09:26:27
Intrum	SEK	19.88	+0.17	+0.86%	19.86	19.90	317,517	6,290,191	09:25:54
INVISIO	SEK	269.60	+2.40	+0.89%	268.60	269.80	3,332	896,967	09:26:24
Inwido	SEK	145.30	+0.20	+0.13%	145.00	145.30	6,393	930,799	09:25:47
Isofol Medical	SEK	0.725	+0.008	+1.11%	0.718	0.725	13,346	9,617	09:25:42
ISS	DKK	270.20	-6.60	-2.38%	270.00	270.40	97,506	26,366,521	09:26:17
ITAB Shop Concept	SEK	14.98	+0.08	+0.53%	14.84	14.98	5,937	88,364	09:25:46
JBT Marel Corp.	ISK	15,700.00							00:00:00
Jeudan	DKK	204.00	0.00	0.00%	204.00	205.00	4	816	09:24:45
JM	SEK	115.40	-0.10	-0.08%	115.30	115.60	9,143	1,055,994	09:25:41
John Mattson Fastighetsföret.	SEK	60.90	-0.60	-0.97%	61.00	61.60	110	6,761	09:25:45
Jyske Bank	DKK	908.50	+3.00	+0.33%	908.00	909.00	3,951	3,582,082	09:25:46
K-Fast Holding B	SEK	10.62	+0.02	+0.18%	10.54	10.68	5,240	55,648	09:22:28
Kaldalón	ISK	26.40							00:00:00
Kalmar Oyj B	EUR	40.42	+0.06	+0.14%	40.30	40.40	2,297	92,722	09:25:15
Kamux Oyj	EUR	1.528	-0.014	-0.90%	1.53	1.54	1,517	2,325	09:24:26
Karnell Group B	SEK	80.20	0.00	0.00%	80.00	80.60	4,880	392,848	09:26:20
Karnov Group	SEK	75.20	-0.60	-0.79%	75.20	75.50	1,156	86,963	09:25:33
Kemira Oyj	EUR	17.56	+0.03	+0.17%	17.54	17.58	8,341	146,257	09:26:02
Kempower Oyj	EUR	13.68	-0.04	-0.29%	13.62	13.70	7,538	103,514	09:26:01
Kinnevik B	SEK	55.02	+1.90	+3.57%	54.98	55.02	501,916	27,503,645	09:26:16
KlaraBo Sverige B	SEK	15.22	+0.02	+0.13%	15.14	15.22	36,562	556,234	09:26:20
Knowit	SEK	91.30	-0.60	-0.65%	91.30	91.90	2,114	193,661	09:21:20
Kvika banki	ISK	16.35							00:00:00
Lagercrantz Group B	SEK	255.80	-1.40	-0.54%	255.60	256.00	13,975	3,588,544	09:25:44
Lassila & Tikanoja	EUR	6.90	-0.05	-0.71%	6.91	6.93	2,402	16,619	09:26:16
Latour B	SEK	199.40	-1.00	-0.49%	199.40	199.55	19,033	3,803,206	09:26:33
Lime Technologies	SEK	227.50	-0.50	-0.21%	226.50	227.50	2,311	522,607	09:25:39
Lindab International	SEK	144.30	-1.10	-0.75%	144.00	144.60	3,149	459,427	09:25:43
Lindex Group Oyj	EUR	2.16	+0.005	+0.23%	2.15	2.16	10,145	22,036	09:25:02
Logistea B	SEK	14.16	-0.06	-0.42%	14.12	14.16	38,190	541,631	09:25:52
Loomis	SEK	475.60	+3.20	+0.67%	474.80	476.00	2,340	1,111,862	09:24:47
Lumo Kodit Oyj	EUR	7.55	-0.06	-0.78%	7.54	7.56	8,101	61,061	09:25:53
Lundbergföretagen B	SEK	528.50	-0.50	-0.09%	528.00	529.50	4,645	2,457,827	09:25:50
Lundin Gold	SEK	584.40	-11.80	-1.97%	584.00	584.60	10,383	6,099,641	09:26:18
Lundin Mining Corporation	SEK	252.80	-6.60	-2.54%	252.60	252.80	62,172	15,786,183	09:26:28
Luotea Plc	EUR	1.966	-0.01	-0.50%	1.96	1.984	11,483	22,524	09:23:39
Maha Capital	SEK	10.16	-0.14	-1.35%	10.08	10.16	9,471	95,750	09:24:03
Mandatum	EUR	5.805	+0.03	+0.51%	5.80	5.805	256,212	1,491,020	09:26:07
